fragment_a,fragment_b,source_a,source_b,index_a,index_b,label
FRAG_001096,FRAG_001097,sample_text_006.log,sample_text_006.log,6,7,1
FRAG_000628,FRAG_000914,sample_pdf_018.pdf,sample_png_014.png,25,3,0
FRAG_001531,FRAG_001532,sample_zip_016.zip,sample_zip_016.zip,1,2,1
FRAG_001482,FRAG_001483,sample_zip_012.zip,sample_zip_012.zip,0,1,1
FRAG_000248,FRAG_000249,sample_pdf_001.pdf,sample_pdf_001.pdf,23,24,1
FRAG_001029,FRAG_001209,sample_text_001.json,sample_text_015.json,4,4,0
FRAG_001504,FRAG_001505,sample_zip_014.zip,sample_zip_014.zip,1,2,1
FRAG_000150,FRAG_000933,sample_jpeg_017.jpg,sample_png_016.png,2,6,0
FRAG_001023,FRAG_000811,sample_png_025.png,sample_png_003.png,12,2,0
FRAG_000168,FRAG_000768,sample_jpeg_018.jpeg,sample_pdf_025.pdf,6,0,0
FRAG_001487,FRAG_001488,sample_zip_012.zip,sample_zip_012.zip,5,6,1
FRAG_001088,FRAG_000463,sample_text_005.csv,sample_pdf_011.pdf,3,10,0
FRAG_001380,FRAG_001381,sample_zip_002.zip,sample_zip_002.zip,0,1,1
FRAG_001497,FRAG_001498,sample_zip_013.zip,sample_zip_013.zip,7,8,1
FRAG_000262,FRAG_001275,sample_pdf_002.pdf,sample_text_017.txt,3,9,0
FRAG_001079,FRAG_001080,sample_text_004.json,sample_text_004.json,12,13,1
FRAG_000153,FRAG_000154,sample_jpeg_017.jpg,sample_jpeg_017.jpg,5,6,1
FRAG_000874,FRAG_000875,sample_png_009.png,sample_png_009.png,5,6,1
FRAG_000196,FRAG_000379,sample_jpeg_022.jpg,sample_pdf_007.pdf,3,9,0
FRAG_001019,FRAG_001530,sample_png_025.png,sample_zip_016.zip,8,0,0
FRAG_001399,FRAG_001400,sample_zip_004.zip,sample_zip_004.zip,4,5,1
FRAG_001145,FRAG_001146,sample_text_010.log,sample_text_010.log,6,7,1
FRAG_000972,FRAG_000973,sample_png_020.png,sample_png_020.png,3,4,1
FRAG_001563,FRAG_000327,sample_zip_018.zip,sample_pdf_005.pdf,5,13,0
FRAG_000851,FRAG_000360,sample_png_007.png,sample_pdf_006.pdf,5,12,0
FRAG_001231,FRAG_001232,sample_text_015.json,sample_text_015.json,26,27,1
FRAG_000427,FRAG_000428,sample_pdf_009.pdf,sample_pdf_009.pdf,17,18,1
FRAG_000188,FRAG_000455,sample_jpeg_021.jpg,sample_pdf_011.pdf,1,2,0
FRAG_001601,FRAG_000898,sample_zip_021.zip,sample_png_012.png,12,1,0
FRAG_001446,FRAG_001447,sample_zip_009.zip,sample_zip_009.zip,2,3,1
FRAG_000064,FRAG_000293,sample_jpeg_008.jpeg,sample_pdf_003.pdf,5,13,0
FRAG_000174,FRAG_000108,sample_jpeg_019.jpg,sample_jpeg_012.jpg,4,9,0
FRAG_000430,FRAG_000431,sample_pdf_009.pdf,sample_pdf_009.pdf,20,21,1
FRAG_000666,FRAG_000781,sample_pdf_019.pdf,sample_pdf_025.pdf,33,13,0
FRAG_001152,FRAG_001426,sample_text_011.json,sample_zip_007.zip,5,2,0
FRAG_000799,FRAG_000800,sample_png_001.png,sample_png_001.png,3,4,1
FRAG_000199,FRAG_000200,sample_jpeg_022.jpg,sample_jpeg_022.jpg,6,7,1
FRAG_000636,FRAG_000637,sample_pdf_019.pdf,sample_pdf_019.pdf,3,4,1
FRAG_000757,FRAG_000758,sample_pdf_024.pdf,sample_pdf_024.pdf,2,3,1
FRAG_000721,FRAG_000213,sample_pdf_022.pdf,sample_jpeg_024.jpeg,1,8,0
FRAG_000932,FRAG_000933,sample_png_016.png,sample_png_016.png,5,6,1
FRAG_001011,FRAG_001012,sample_png_025.png,sample_png_025.png,0,1,1
FRAG_001235,FRAG_001470,sample_text_015.json,sample_zip_011.zip,30,7,0
FRAG_000856,FRAG_000593,sample_png_008.png,sample_pdf_017.pdf,1,10,0
FRAG_000694,FRAG_001277,sample_pdf_020.pdf,sample_text_018.csv,21,0,0
FRAG_000946,FRAG_000241,sample_png_018.png,sample_pdf_001.pdf,1,16,0
FRAG_000706,FRAG_000263,sample_pdf_020.pdf,sample_pdf_002.pdf,33,4,0
FRAG_001431,FRAG_001357,sample_zip_007.zip,sample_text_024.txt,7,16,0
FRAG_000501,FRAG_001088,sample_pdf_012.pdf,sample_text_005.csv,18,3,0
FRAG_001611,FRAG_001040,sample_zip_023.zip,sample_text_001.json,1,15,0
FRAG_001506,FRAG_001507,sample_zip_014.zip,sample_zip_014.zip,3,4,1
FRAG_001343,FRAG_001344,sample_text_024.txt,sample_text_024.txt,2,3,1
FRAG_001190,FRAG_000544,sample_text_013.csv,sample_pdf_014.pdf,2,17,0
FRAG_000368,FRAG_000620,sample_pdf_006.pdf,sample_pdf_018.pdf,20,17,0
FRAG_001519,FRAG_000905,sample_zip_014.zip,sample_png_013.png,16,2,0
FRAG_001365,FRAG_001366,sample_text_025.log,sample_text_025.log,7,8,1
FRAG_001562,FRAG_001563,sample_zip_018.zip,sample_zip_018.zip,4,5,1
FRAG_001151,FRAG_000242,sample_text_011.json,sample_pdf_001.pdf,4,17,0
FRAG_001322,FRAG_001323,sample_text_021.csv,sample_text_021.csv,4,5,1
FRAG_000864,FRAG_000865,sample_png_008.png,sample_png_008.png,9,10,1
FRAG_001003,FRAG_001004,sample_png_023.png,sample_png_023.png,7,8,1
FRAG_000460,FRAG_000461,sample_pdf_011.pdf,sample_pdf_011.pdf,7,8,1
FRAG_000929,FRAG_001302,sample_png_016.png,sample_text_020.txt,2,0,0
FRAG_001485,FRAG_001486,sample_zip_012.zip,sample_zip_012.zip,3,4,1
FRAG_001572,FRAG_001573,sample_zip_019.zip,sample_zip_019.zip,4,5,1
FRAG_000472,FRAG_001206,sample_pdf_011.pdf,sample_text_015.json,19,1,0
FRAG_001545,FRAG_000064,sample_zip_017.zip,sample_jpeg_008.jpeg,1,5,0
FRAG_000505,FRAG_000506,sample_pdf_012.pdf,sample_pdf_012.pdf,22,23,1
FRAG_000246,FRAG_000247,sample_pdf_001.pdf,sample_pdf_001.pdf,21,22,1
FRAG_000436,FRAG_000437,sample_pdf_009.pdf,sample_pdf_009.pdf,26,27,1
FRAG_000138,FRAG_000139,sample_jpeg_015.jpeg,sample_jpeg_015.jpeg,13,14,1
FRAG_000106,FRAG_001196,sample_jpeg_012.jpg,sample_text_013.csv,7,8,0
FRAG_000226,FRAG_000227,sample_pdf_001.pdf,sample_pdf_001.pdf,1,2,1
FRAG_001579,FRAG_000282,sample_zip_020.zip,sample_pdf_003.pdf,3,2,0
FRAG_001309,FRAG_001040,sample_text_020.txt,sample_text_001.json,7,15,0
FRAG_001530,FRAG_001531,sample_zip_016.zip,sample_zip_016.zip,0,1,1
FRAG_000206,FRAG_001396,sample_jpeg_024.jpeg,sample_zip_004.zip,1,1,0
FRAG_001422,FRAG_000614,sample_zip_006.zip,sample_pdf_018.pdf,12,11,0
FRAG_001625,FRAG_001438,sample_zip_025.zip,sample_zip_008.zip,2,6,0
FRAG_000302,FRAG_000896,sample_pdf_003.pdf,sample_png_011.png,22,8,0
FRAG_000160,FRAG_000161,sample_jpeg_017.jpg,sample_jpeg_017.jpg,12,13,1
FRAG_000315,FRAG_001391,sample_pdf_005.pdf,sample_zip_003.zip,1,6,0
FRAG_000189,FRAG_000190,sample_jpeg_021.jpg,sample_jpeg_021.jpg,2,3,1
FRAG_000132,FRAG_000850,sample_jpeg_015.jpeg,sample_png_007.png,7,4,0
FRAG_000122,FRAG_000123,sample_jpeg_014.jpeg,sample_jpeg_014.jpeg,1,2,1
FRAG_000768,FRAG_000769,sample_pdf_025.pdf,sample_pdf_025.pdf,0,1,1
FRAG_000398,FRAG_001590,sample_pdf_008.pdf,sample_zip_021.zip,8,1,0
FRAG_000213,FRAG_000276,sample_jpeg_024.jpeg,sample_pdf_002.pdf,8,17,0
FRAG_001232,FRAG_001233,sample_text_015.json,sample_text_015.json,27,28,1
FRAG_001618,FRAG_000850,sample_zip_024.zip,sample_png_007.png,1,4,0
FRAG_000693,FRAG_000694,sample_pdf_020.pdf,sample_pdf_020.pdf,20,21,1
FRAG_000767,FRAG_000313,sample_pdf_024.pdf,sample_pdf_004.pdf,12,7,0
FRAG_000891,FRAG_000892,sample_png_011.png,sample_png_011.png,3,4,1
FRAG_000502,FRAG_000335,sample_pdf_012.pdf,sample_pdf_005.pdf,19,21,0
FRAG_001350,FRAG_000883,sample_text_024.txt,sample_png_010.png,9,2,0
FRAG_000721,FRAG_000722,sample_pdf_022.pdf,sample_pdf_022.pdf,1,2,1
FRAG_000832,FRAG_000833,sample_png_005.png,sample_png_005.png,5,6,1
FRAG_001165,FRAG_001166,sample_text_011.json,sample_text_011.json,18,19,1
FRAG_000091,FRAG_000008,sample_jpeg_010.jpg,sample_jpeg_001.jpeg,13,7,0
FRAG_001207,FRAG_001208,sample_text_015.json,sample_text_015.json,2,3,1
FRAG_001140,FRAG_000123,sample_text_010.log,sample_jpeg_014.jpeg,1,2,0
FRAG_000890,FRAG_000891,sample_png_011.png,sample_png_011.png,2,3,1
FRAG_000902,FRAG_000205,sample_png_012.png,sample_jpeg_024.jpeg,5,0,0
FRAG_000289,FRAG_000199,sample_pdf_003.pdf,sample_jpeg_022.jpg,9,6,0
FRAG_001415,FRAG_000418,sample_zip_006.zip,sample_pdf_009.pdf,5,8,0
FRAG_000398,FRAG_000754,sample_pdf_008.pdf,sample_pdf_023.pdf,8,12,0
FRAG_000679,FRAG_000680,sample_pdf_020.pdf,sample_pdf_020.pdf,6,7,1
FRAG_000798,FRAG_001577,sample_png_001.png,sample_zip_020.zip,2,1,0
FRAG_001598,FRAG_001130,sample_zip_021.zip,sample_text_009.txt,9,2,0
FRAG_000371,FRAG_000372,sample_pdf_007.pdf,sample_pdf_007.pdf,1,2,1
FRAG_001550,FRAG_001551,sample_zip_017.zip,sample_zip_017.zip,6,7,1
FRAG_000130,FRAG_001302,sample_jpeg_015.jpeg,sample_text_020.txt,5,0,0
FRAG_000692,FRAG_001559,sample_pdf_020.pdf,sample_zip_018.zip,19,1,0
FRAG_000285,FRAG_001555,sample_pdf_003.pdf,sample_zip_017.zip,5,11,0
FRAG_000483,FRAG_000791,sample_pdf_012.pdf,sample_pdf_025.pdf,0,23,0
FRAG_001056,FRAG_001057,sample_text_002.txt,sample_text_002.txt,13,14,1
FRAG_001582,FRAG_001477,sample_zip_020.zip,sample_zip_011.zip,6,14,0
FRAG_000060,FRAG_000797,sample_jpeg_008.jpeg,sample_png_001.png,1,1,0
FRAG_001134,FRAG_000592,sample_text_009.txt,sample_pdf_017.pdf,6,9,0
FRAG_000231,FRAG_000678,sample_pdf_001.pdf,sample_pdf_020.pdf,6,5,0
FRAG_000561,FRAG_000562,sample_pdf_016.pdf,sample_pdf_016.pdf,0,1,1
FRAG_001135,FRAG_000042,sample_text_009.txt,sample_jpeg_005.jpg,7,0,0
FRAG_000779,FRAG_000199,sample_pdf_025.pdf,sample_jpeg_022.jpg,11,6,0
FRAG_000125,FRAG_000981,sample_jpeg_015.jpeg,sample_png_021.png,0,7,0
FRAG_000806,FRAG_001036,sample_png_002.png,sample_text_001.json,3,11,0
FRAG_000861,FRAG_001004,sample_png_008.png,sample_png_023.png,6,8,0
FRAG_001195,FRAG_001196,sample_text_013.csv,sample_text_013.csv,7,8,1
FRAG_000001,FRAG_000002,sample_jpeg_001.jpeg,sample_jpeg_001.jpeg,0,1,1
FRAG_001225,FRAG_000082,sample_text_015.json,sample_jpeg_010.jpg,20,4,0
FRAG_000352,FRAG_001266,sample_pdf_006.pdf,sample_text_017.txt,4,0,0
FRAG_001437,FRAG_001117,sample_zip_008.zip,sample_text_008.json,5,9,0
FRAG_000673,FRAG_001382,sample_pdf_020.pdf,sample_zip_002.zip,0,2,0
FRAG_001132,FRAG_001133,sample_text_009.txt,sample_text_009.txt,4,5,1
FRAG_000118,FRAG_000119,sample_jpeg_013.jpeg,sample_jpeg_013.jpeg,6,7,1
FRAG_001359,FRAG_001360,sample_text_025.log,sample_text_025.log,1,2,1
FRAG_000715,FRAG_000716,sample_pdf_021.pdf,sample_pdf_021.pdf,7,8,1
FRAG_000112,FRAG_001134,sample_jpeg_013.jpeg,sample_text_009.txt,0,6,0
FRAG_000477,FRAG_000207,sample_pdf_011.pdf,sample_jpeg_024.jpeg,24,2,0
FRAG_000478,FRAG_000673,sample_pdf_011.pdf,sample_pdf_020.pdf,25,0,0
FRAG_000295,FRAG_000641,sample_pdf_003.pdf,sample_pdf_019.pdf,15,8,0
FRAG_001272,FRAG_001273,sample_text_017.txt,sample_text_017.txt,6,7,1
FRAG_001405,FRAG_001406,sample_zip_005.zip,sample_zip_005.zip,4,5,1
FRAG_000102,FRAG_000103,sample_jpeg_012.jpg,sample_jpeg_012.jpg,3,4,1
FRAG_001352,FRAG_001353,sample_text_024.txt,sample_text_024.txt,11,12,1
FRAG_001490,FRAG_000128,sample_zip_013.zip,sample_jpeg_015.jpeg,0,3,0
FRAG_000104,FRAG_000595,sample_jpeg_012.jpg,sample_pdf_017.pdf,5,12,0
FRAG_000491,FRAG_000492,sample_pdf_012.pdf,sample_pdf_012.pdf,8,9,1
FRAG_000507,FRAG_000508,sample_pdf_012.pdf,sample_pdf_012.pdf,24,25,1
FRAG_001126,FRAG_001127,sample_text_008.json,sample_text_008.json,18,19,1
FRAG_001316,FRAG_000152,sample_text_020.txt,sample_jpeg_017.jpg,14,4,0
FRAG_000898,FRAG_000899,sample_png_012.png,sample_png_012.png,1,2,1
FRAG_000125,FRAG_000825,sample_jpeg_015.jpeg,sample_png_004.png,0,10,0
FRAG_000421,FRAG_000422,sample_pdf_009.pdf,sample_pdf_009.pdf,11,12,1
FRAG_000224,FRAG_000926,sample_jpeg_025.jpg,sample_png_015.png,10,4,0
FRAG_001348,FRAG_001349,sample_text_024.txt,sample_text_024.txt,7,8,1
FRAG_000254,FRAG_000255,sample_pdf_001.pdf,sample_pdf_001.pdf,29,30,1
FRAG_000412,FRAG_001623,sample_pdf_009.pdf,sample_zip_025.zip,2,0,0
FRAG_000254,FRAG_000932,sample_pdf_001.pdf,sample_png_016.png,29,5,0
FRAG_000314,FRAG_000315,sample_pdf_005.pdf,sample_pdf_005.pdf,0,1,1
FRAG_000357,FRAG_000544,sample_pdf_006.pdf,sample_pdf_014.pdf,9,17,0
FRAG_001151,FRAG_000676,sample_text_011.json,sample_pdf_020.pdf,4,3,0
FRAG_000923,FRAG_001412,sample_png_015.png,sample_zip_006.zip,1,2,0
FRAG_000844,FRAG_001372,sample_png_006.png,sample_zip_001.zip,9,2,0
FRAG_000823,FRAG_000824,sample_png_004.png,sample_png_004.png,8,9,1
FRAG_001168,FRAG_001169,sample_text_011.json,sample_text_011.json,21,22,1
FRAG_000190,FRAG_000191,sample_jpeg_021.jpg,sample_jpeg_021.jpg,3,4,1
FRAG_000059,FRAG_000167,sample_jpeg_008.jpeg,sample_jpeg_018.jpeg,0,5,0
FRAG_001388,FRAG_001389,sample_zip_003.zip,sample_zip_003.zip,3,4,1
FRAG_000151,FRAG_001102,sample_jpeg_017.jpg,sample_text_007.csv,3,4,0
FRAG_000935,FRAG_000936,sample_png_016.png,sample_png_016.png,8,9,1
FRAG_001155,FRAG_001156,sample_text_011.json,sample_text_011.json,8,9,1
FRAG_001515,FRAG_001516,sample_zip_014.zip,sample_zip_014.zip,12,13,1
FRAG_001036,FRAG_001240,sample_text_001.json,sample_text_016.json,11,2,0
FRAG_000012,FRAG_000013,sample_jpeg_001.jpeg,sample_jpeg_001.jpeg,11,12,1
FRAG_000063,FRAG_000064,sample_jpeg_008.jpeg,sample_jpeg_008.jpeg,4,5,1
FRAG_000671,FRAG_000672,sample_pdf_019.pdf,sample_pdf_019.pdf,38,39,1
FRAG_000614,FRAG_000615,sample_pdf_018.pdf,sample_pdf_018.pdf,11,12,1
FRAG_000472,FRAG_001244,sample_pdf_011.pdf,sample_text_016.json,19,6,0
FRAG_000029,FRAG_001451,sample_jpeg_003.jpg,sample_zip_009.zip,3,7,0
FRAG_000452,FRAG_001000,sample_pdf_010.pdf,sample_png_023.png,7,4,0
FRAG_001053,FRAG_001054,sample_text_002.txt,sample_text_002.txt,10,11,1
FRAG_000701,FRAG_000702,sample_pdf_020.pdf,sample_pdf_020.pdf,28,29,1
FRAG_000592,FRAG_000900,sample_pdf_017.pdf,sample_png_012.png,9,3,0
FRAG_001163,FRAG_001222,sample_text_011.json,sample_text_015.json,16,17,0
FRAG_000477,FRAG_001035,sample_pdf_011.pdf,sample_text_001.json,24,10,0
FRAG_001376,FRAG_001322,sample_zip_001.zip,sample_text_021.csv,6,4,0
FRAG_000282,FRAG_000283,sample_pdf_003.pdf,sample_pdf_003.pdf,2,3,1
FRAG_001014,FRAG_001015,sample_png_025.png,sample_png_025.png,3,4,1
FRAG_001122,FRAG_001123,sample_text_008.json,sample_text_008.json,14,15,1
FRAG_000479,FRAG_000480,sample_pdf_011.pdf,sample_pdf_011.pdf,26,27,1
FRAG_000498,FRAG_000209,sample_pdf_012.pdf,sample_jpeg_024.jpeg,15,4,0
FRAG_000678,FRAG_000679,sample_pdf_020.pdf,sample_pdf_020.pdf,5,6,1
FRAG_000828,FRAG_001054,sample_png_005.png,sample_text_002.txt,1,11,0
FRAG_001475,FRAG_001476,sample_zip_011.zip,sample_zip_011.zip,12,13,1
FRAG_000576,FRAG_000577,sample_pdf_016.pdf,sample_pdf_016.pdf,15,16,1
FRAG_001590,FRAG_000591,sample_zip_021.zip,sample_pdf_017.pdf,1,8,0
FRAG_001254,FRAG_001255,sample_text_016.json,sample_text_016.json,16,17,1
FRAG_001462,FRAG_000586,sample_zip_010.zip,sample_pdf_017.pdf,7,3,0
FRAG_000108,FRAG_000260,sample_jpeg_012.jpg,sample_pdf_002.pdf,9,1,0
FRAG_001354,FRAG_000606,sample_text_024.txt,sample_pdf_018.pdf,13,3,0
FRAG_001581,FRAG_001582,sample_zip_020.zip,sample_zip_020.zip,5,6,1
FRAG_000791,FRAG_000792,sample_pdf_025.pdf,sample_pdf_025.pdf,23,24,1
FRAG_001055,FRAG_001151,sample_text_002.txt,sample_text_011.json,12,4,0
FRAG_001268,FRAG_001269,sample_text_017.txt,sample_text_017.txt,2,3,1
FRAG_001201,FRAG_001202,sample_text_014.txt,sample_text_014.txt,4,5,1
FRAG_000578,FRAG_000579,sample_pdf_016.pdf,sample_pdf_016.pdf,17,18,1
FRAG_001130,FRAG_000266,sample_text_009.txt,sample_pdf_002.pdf,2,7,0
FRAG_000052,FRAG_001519,sample_jpeg_006.jpg,sample_zip_014.zip,4,16,0
FRAG_000771,FRAG_000772,sample_pdf_025.pdf,sample_pdf_025.pdf,3,4,1
FRAG_000547,FRAG_000676,sample_pdf_014.pdf,sample_pdf_020.pdf,20,3,0
FRAG_001310,FRAG_000229,sample_text_020.txt,sample_pdf_001.pdf,8,4,0
FRAG_000678,FRAG_000721,sample_pdf_020.pdf,sample_pdf_022.pdf,5,1,0
FRAG_001103,FRAG_001587,sample_text_007.csv,sample_zip_020.zip,5,11,0
FRAG_000413,FRAG_000090,sample_pdf_009.pdf,sample_jpeg_010.jpg,3,12,0
FRAG_000054,FRAG_000055,sample_jpeg_007.jpg,sample_jpeg_007.jpg,1,2,1
FRAG_000488,FRAG_000489,sample_pdf_012.pdf,sample_pdf_012.pdf,5,6,1
FRAG_000003,FRAG_001347,sample_jpeg_001.jpeg,sample_text_024.txt,2,6,0
FRAG_000144,FRAG_001361,sample_jpeg_016.jpeg,sample_text_025.log,4,3,0
FRAG_000501,FRAG_000757,sample_pdf_012.pdf,sample_pdf_024.pdf,18,2,0
FRAG_000538,FRAG_000539,sample_pdf_014.pdf,sample_pdf_014.pdf,11,12,1
FRAG_001341,FRAG_001342,sample_text_024.txt,sample_text_024.txt,0,1,1
FRAG_000329,FRAG_000559,sample_pdf_005.pdf,sample_pdf_015.pdf,15,10,0
FRAG_001331,FRAG_000165,sample_text_022.log,sample_jpeg_018.jpeg,6,3,0
FRAG_000794,FRAG_000795,sample_pdf_025.pdf,sample_pdf_025.pdf,26,27,1
FRAG_001220,FRAG_000650,sample_text_015.json,sample_pdf_019.pdf,15,17,0
FRAG_000971,FRAG_000972,sample_png_020.png,sample_png_020.png,2,3,1
FRAG_000324,FRAG_000901,sample_pdf_005.pdf,sample_png_012.png,10,4,0
FRAG_001386,FRAG_001517,sample_zip_003.zip,sample_zip_014.zip,1,14,0
FRAG_000032,FRAG_000033,sample_jpeg_003.jpg,sample_jpeg_003.jpg,6,7,1
FRAG_001509,FRAG_000691,sample_zip_014.zip,sample_pdf_020.pdf,6,18,0
FRAG_000398,FRAG_000607,sample_pdf_008.pdf,sample_pdf_018.pdf,8,4,0
FRAG_000855,FRAG_000856,sample_png_008.png,sample_png_008.png,0,1,1
FRAG_001296,FRAG_001297,sample_text_019.txt,sample_text_019.txt,9,10,1
FRAG_000195,FRAG_000641,sample_jpeg_022.jpg,sample_pdf_019.pdf,2,8,0
FRAG_001375,FRAG_001376,sample_zip_001.zip,sample_zip_001.zip,5,6,1
FRAG_000641,FRAG_000389,sample_pdf_019.pdf,sample_pdf_007.pdf,8,19,0
FRAG_000340,FRAG_001477,sample_pdf_005.pdf,sample_zip_011.zip,26,14,0
FRAG_001386,FRAG_001484,sample_zip_003.zip,sample_zip_012.zip,1,2,0
FRAG_000278,FRAG_000152,sample_pdf_002.pdf,sample_jpeg_017.jpg,19,4,0
FRAG_000533,FRAG_000534,sample_pdf_014.pdf,sample_pdf_014.pdf,6,7,1
FRAG_001129,FRAG_001130,sample_text_009.txt,sample_text_009.txt,1,2,1
FRAG_000723,FRAG_000493,sample_pdf_022.pdf,sample_pdf_012.pdf,3,10,0
FRAG_000462,FRAG_000463,sample_pdf_011.pdf,sample_pdf_011.pdf,9,10,1
FRAG_000119,FRAG_000120,sample_jpeg_013.jpeg,sample_jpeg_013.jpeg,7,8,1
FRAG_001550,FRAG_001021,sample_zip_017.zip,sample_png_025.png,6,10,0
FRAG_000930,FRAG_000931,sample_png_016.png,sample_png_016.png,3,4,1
FRAG_000318,FRAG_000159,sample_pdf_005.pdf,sample_jpeg_017.jpg,4,11,0
FRAG_000793,FRAG_000794,sample_pdf_025.pdf,sample_pdf_025.pdf,25,26,1
FRAG_000761,FRAG_000762,sample_pdf_024.pdf,sample_pdf_024.pdf,6,7,1
FRAG_000152,FRAG_000153,sample_jpeg_017.jpg,sample_jpeg_017.jpg,4,5,1
FRAG_001421,FRAG_001422,sample_zip_006.zip,sample_zip_006.zip,11,12,1
FRAG_001223,FRAG_000044,sample_text_015.json,sample_jpeg_005.jpg,18,2,0
FRAG_000875,FRAG_000876,sample_png_009.png,sample_png_009.png,6,7,1
FRAG_001044,FRAG_001091,sample_text_002.txt,sample_text_006.log,1,1,0
FRAG_000710,FRAG_000711,sample_pdf_021.pdf,sample_pdf_021.pdf,2,3,1
FRAG_000467,FRAG_000468,sample_pdf_011.pdf,sample_pdf_011.pdf,14,15,1
FRAG_000878,FRAG_000879,sample_png_009.png,sample_png_009.png,9,10,1
FRAG_000661,FRAG_001237,sample_pdf_019.pdf,sample_text_015.json,28,32,0
FRAG_000354,FRAG_000081,sample_pdf_006.pdf,sample_jpeg_010.jpg,6,3,0
FRAG_000885,FRAG_000198,sample_png_010.png,sample_jpeg_022.jpg,4,5,0
FRAG_001408,FRAG_001409,sample_zip_005.zip,sample_zip_005.zip,7,8,1
FRAG_000441,FRAG_001195,sample_pdf_009.pdf,sample_text_013.csv,31,7,0
FRAG_001531,FRAG_001505,sample_zip_016.zip,sample_zip_014.zip,1,2,0
FRAG_001178,FRAG_001179,sample_text_012.log,sample_text_012.log,4,5,1
FRAG_001134,FRAG_001135,sample_text_009.txt,sample_text_009.txt,6,7,1
FRAG_001248,FRAG_001249,sample_text_016.json,sample_text_016.json,10,11,1
FRAG_001128,FRAG_000201,sample_text_009.txt,sample_jpeg_023.jpeg,0,0,0
FRAG_000594,FRAG_001315,sample_pdf_017.pdf,sample_text_020.txt,11,13,0
FRAG_000382,FRAG_000383,sample_pdf_007.pdf,sample_pdf_007.pdf,12,13,1
FRAG_000895,FRAG_000896,sample_png_011.png,sample_png_011.png,7,8,1
FRAG_001187,FRAG_000748,sample_text_012.log,sample_pdf_023.pdf,13,6,0
FRAG_000107,FRAG_000108,sample_jpeg_012.jpg,sample_jpeg_012.jpg,8,9,1
FRAG_001169,FRAG_001170,sample_text_011.json,sample_text_011.json,22,23,1
FRAG_000969,FRAG_000970,sample_png_020.png,sample_png_020.png,0,1,1
FRAG_001304,FRAG_000390,sample_text_020.txt,sample_pdf_008.pdf,2,0,0
FRAG_000384,FRAG_001361,sample_pdf_007.pdf,sample_text_025.log,14,3,0
FRAG_000288,FRAG_000865,sample_pdf_003.pdf,sample_png_008.png,8,10,0
FRAG_000155,FRAG_000908,sample_jpeg_017.jpg,sample_png_013.png,7,5,0
FRAG_000986,FRAG_000987,sample_png_021.png,sample_png_021.png,12,13,1
FRAG_000780,FRAG_000923,sample_pdf_025.pdf,sample_png_015.png,12,1,0
FRAG_000045,FRAG_001349,sample_jpeg_005.jpg,sample_text_024.txt,3,8,0
FRAG_000901,FRAG_000792,sample_png_012.png,sample_pdf_025.pdf,4,24,0
FRAG_000746,FRAG_000884,sample_pdf_023.pdf,sample_png_010.png,4,3,0
FRAG_000943,FRAG_001413,sample_png_017.png,sample_zip_006.zip,4,3,0
FRAG_001414,FRAG_000380,sample_zip_006.zip,sample_pdf_007.pdf,4,10,0
FRAG_000619,FRAG_001193,sample_pdf_018.pdf,sample_text_013.csv,16,5,0
FRAG_001381,FRAG_001382,sample_zip_002.zip,sample_zip_002.zip,1,2,1
FRAG_000897,FRAG_000165,sample_png_012.png,sample_jpeg_018.jpeg,0,3,0
FRAG_000982,FRAG_000983,sample_png_021.png,sample_png_021.png,8,9,1
FRAG_000831,FRAG_000832,sample_png_005.png,sample_png_005.png,4,5,1
FRAG_000937,FRAG_000938,sample_png_016.png,sample_png_016.png,10,11,1
FRAG_000109,FRAG_000110,sample_jpeg_012.jpg,sample_jpeg_012.jpg,10,11,1
FRAG_001235,FRAG_001236,sample_text_015.json,sample_text_015.json,30,31,1
FRAG_001574,FRAG_001575,sample_zip_019.zip,sample_zip_019.zip,6,7,1
FRAG_000687,FRAG_001621,sample_pdf_020.pdf,sample_zip_024.zip,14,4,0
FRAG_000351,FRAG_000352,sample_pdf_006.pdf,sample_pdf_006.pdf,3,4,1
FRAG_000265,FRAG_000887,sample_pdf_002.pdf,sample_png_010.png,6,6,0
FRAG_001123,FRAG_000001,sample_text_008.json,sample_jpeg_001.jpeg,15,0,0
FRAG_000218,FRAG_000654,sample_jpeg_025.jpg,sample_pdf_019.pdf,4,21,0
FRAG_000327,FRAG_000328,sample_pdf_005.pdf,sample_pdf_005.pdf,13,14,1
FRAG_000076,FRAG_000259,sample_jpeg_009.jpeg,sample_pdf_002.pdf,6,0,0
FRAG_000235,FRAG_001593,sample_pdf_001.pdf,sample_zip_021.zip,10,4,0
FRAG_000389,FRAG_000251,sample_pdf_007.pdf,sample_pdf_001.pdf,19,26,0
FRAG_001505,FRAG_001506,sample_zip_014.zip,sample_zip_014.zip,2,3,1
FRAG_001112,FRAG_000955,sample_text_008.json,sample_png_018.png,4,10,0
FRAG_000115,FRAG_000116,sample_jpeg_013.jpeg,sample_jpeg_013.jpeg,3,4,1
FRAG_000885,FRAG_001505,sample_png_010.png,sample_zip_014.zip,4,2,0
FRAG_001396,FRAG_001397,sample_zip_004.zip,sample_zip_004.zip,1,2,1
FRAG_001473,FRAG_001474,sample_zip_011.zip,sample_zip_011.zip,10,11,1
